"","ALogP","ALogp2","AMR","apol","nA","nR","nN","nD","nC","nF","nQ","nE","nG","nH","nI","nP","nL","nK","nM","nS","nT","nY","nV","nW","naAromAtom","nAromBond","nAtom","ATSc1","ATSc2","ATSc3","ATSc4","ATSc5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","BCUTw.1l","BCUTw.1h","BCUTc.1l","BCUTc.1h","BCUTp.1l","BCUTp.1h","bpol","nB","PPSA.1","PPSA.2","PPSA.3","PNSA.1","PNSA.2","PNSA.3","DPSA.1","DPSA.2","DPSA.3","FPSA.1","FPSA.2","FPSA.3","FNSA.1","FNSA.2","FNSA.3","WPSA.1","WPSA.2","WPSA.3","WNSA.1","WNSA.2","WNSA.3","RPCG","RNCG","RPCS","RNCS","THSA","TPSA","RHSA","RPSA","C1SP1","C2SP1","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","C4SP3","SCH.3","SCH.4","SCH.5","SCH.6","SCH.7","VCH.3","VCH.4","VCH.5","VCH.6","VCH.7","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SP.0","SP.1","SP.2","SP.3","SP.4","SP.5","SP.6","SP.7","VP.0","VP.1","VP.2","VP.3","VP.4","VP.5","VP.6","VP.7","ECCEN","FMF","fragC","GRAV.1","GRAV.2","GRAV.3","GRAVH.1","GRAVH.2","GRAVH.3","GRAV.4","GRAV.5","GRAV.6","nHBAcc","nHBDon","HybRatio","MolIP","Kier1","Kier2","Kier3","khs.sLi","khs.ssBe","khs.ssssBe","khs.ssBH","khs.sssB","khs.ssssB","khs.sCH3","khs.dCH2","khs.ssCH2","khs.tCH","khs.dsCH","khs.aaCH","khs.sssCH","khs.ddC","khs.tsC","khs.dssC","khs.aasC","khs.aaaC","khs.ssssC","khs.sNH3","khs.sNH2","khs.ssNH2","khs.dNH","khs.ssNH","khs.aaNH","khs.tN","khs.sssNH","khs.dsN","khs.aaN","khs.sssN","khs.ddsN","khs.aasN","khs.ssssN","khs.sOH","khs.dO","khs.ssO","khs.aaO","khs.sF","khs.sSiH3","khs.ssSiH2","khs.sssSiH","khs.ssssSi","khs.sPH2","khs.ssPH","khs.sssP","khs.dsssP","khs.sssssP","khs.sSH","khs.dS","khs.ssS","khs.aaS","khs.dssS","khs.ddssS","khs.sCl","khs.sGeH3","khs.ssGeH2","khs.sssGeH","khs.ssssGe","khs.sAsH2","khs.ssAsH","khs.sssAs","khs.sssdAs","khs.sssssAs","khs.sSeH","khs.dSe","khs.ssSe","khs.aaSe","khs.dssSe","khs.ddssSe","khs.sBr","khs.sSnH3","khs.ssSnH2","khs.sssSnH","khs.ssssSn","khs.sI","khs.sPbH3","khs.ssPbH2","khs.sssPbH","khs.ssssPb","nAtomLC","nAtomP","LOBMAX","LOBMIN","nAtomLAC","MDEC.11","MDEC.12","MDEC.13","MDEC.14","MDEC.22","MDEC.23","MDEC.24","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","MDEN.11","MDEN.12","MDEN.13","MDEN.22","MDEN.23","MDEN.33","MLogP","MOMI.X","MOMI.Y","MOMI.Z","MOMI.XY","MOMI.XZ","MOMI.YZ","MOMI.R","PetitjeanNumber","topoShape","geomShape","nRotB","LipinskiFailures","TopoPSA","VABC","VAdjMat","Wlambda1.unity","Wlambda2.unity","Wlambda3.unity","Wnu1.unity","Wnu2.unity","Wgamma1.unity","Wgamma2.unity","Wgamma3.unity","Weta1.unity","Weta2.unity","Weta3.unity","WT.unity","WA.unity","WV.unity","WK.unity","WG.unity","WD.unity","MW","WTPT.1","WTPT.2","WTPT.3","WTPT.4","WTPT.5","WPATH","WPOL","XLogP","Zagreb"
"C1COCCN1C2.CC..CC.C2.NC3.NC.CC..N3.C4.C.N.C5N4C.CS5.C6.CC..CC.C6.NC..O.CC7.CC.CC.C7",-0.0085000000000035,7.22500000000596e-05,182.6556,89.620997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0.748755708687439,-0.486886166554165,0.0745834789081376,0.0634196467558445,-0.0332681879486855,53.1965532184673,55.9947572713908,79.711447344235,75.4070168585035,76.5421753604719,3334.65204270309,3982.46977113253,5649.44668269679,5599.45121547166,5468.7811892085,11.85,31.9720731723952,-0.378132216339825,0.209385720993189,5.11193131713999,12.2424007511284,46.097003,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,20,2,4,1,0,0,0,0,0.196418550329597,0.807331813745656,1.02764146621994,0,0,0.116287092917528,0.306461537655646,0.324958398469742,2.32178168694289,0,0.365693494702146,0,1.03973624285917,0,0.13432822583576,0,5.38052506782842,9.69146477832286,13.5164967276666,2.17079922342634,3.22959140430386,3.70288126034987,29.011650153875,21.1918058212501,18.9242824416601,16.0808147745127,14.4356603611889,11.7047717149392,8.09432570074564,6.38339874046594,24.1277979119755,15.0045279198946,11.0692077638128,8.02271382199221,5.9582645300482,3.98288525042558,2.31219879794809,1.5228713682045,1583,0.976744186046512,4278.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,0.151515151515152,NA,31.5918367346939,15.268598615917,7.93950850661626,0,0,0,0,0,0,0,0,5,0,0,17,0,0,0,1,9,1,0,0,0,0,0,2,0,0,0,0,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,NA,NA,2,0,0,0,0,0,39.4587878770814,0,12.0376425584598,0,0,0,0.0555555555555556,0,0,0,0,2.23151312609,1.89384819610217,0.111111111111111,3.99,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,9,0,119.22,NA,6.61470984411521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.2103444,90.285192694332,2.09965564405423,31.4210735731432,5.56195490495321,22.7561726337112,7241,67,2.896,234
"C1.CC2.C.C.C1C3.NC..NC.C3.N.NN.C2N",-1.7566,3.08564356,64.4614,32.62793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.244678398687553,-0.167680342127907,0.0947846462405798,-0.0333248182100028,-0.0197040817906127,19.1598818076589,20.6894357667201,29.9355586037299,27.3541634994418,20.8280012649849,1062.49302549258,1254.46632607968,1766.19013855214,1604.0420152991,1195.12979936578,11.9934056566695,14.010671190469,-0.312803814637782,0.198564176176543,5.50307983795047,9.88544964233442,12.91207,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,6,2,0,0,0,0,0,0,0.0962250448649376,0.383682523430202,0.529717316748921,0,0,0.0279508497187474,0.0891352197104938,0.099376744573774,1.16046015847828,0,0.247599759942248,0,0.414505372423283,0,0.0609838072914283,0,2.6888990727094,4.23876347637105,5.27655218810873,0.822725704681099,1.03821027289596,1.04330590707164,11.8280626458167,8.23718344301788,7.58355789534688,6.44911299869652,5.43317964701563,4.18741927758966,2.76108952563378,2.06814899657009,8.88309267082726,5.06362548732741,3.66929018958616,2.56230505825443,1.73466972472918,1.08646124594216,0.584021723069461,0.347177204465399,262,0.882352941176471,569.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,0,NA,12.0554016620499,4.93827160493827,2.41975308641975,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,2,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,NA,NA,0,0,0,0,0,3.76916913568456,11.781592236395,0,5.4799137560948,0,0,0,0,0,0.111111111111111,1.93696828444275,0,1.55034387381884,0,0,2.01,NA,NA,NA,NA,NA,NA,NA,0.444444444444444,0.8,NA,1,0,101.15,NA,5.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226.0966944,35.08123641408,2.06360214200471,17.2353942737377,0,17.2353942737377,513,25,-0.785,92
"CNC1.NC..CN.C1.C2.CNC..O.C..C2.NC..O.C3.CC.C.C.C3.N4CCCC4CN5CCCC5",-2.7691,7.66791481000001,132.4746,75.734583,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0.725591255704256,-0.407259765422755,-0.0526773453222417,0.261599336450843,-0.277227780155582,39.0688001800173,42.3230948851522,59.2885441801033,58.8142078191811,56.3438069613198,2497.08798475479,2933.75923939628,4058.19074006676,3930.07655468093,3704.77649355328,11.9942624628766,15.9959349068367,-0.331660994602281,0.246242132495276,5.10618401673305,10.5183674949779,44.385417,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,6,8,2,4,5,0,0,0,0,0.262188697495164,0.48814483610392,0.610076401467405,0,0,0.203090491792517,0.254527988177541,0.231807210287998,2.01573557474285,0,0.455118357216804,0,0.923032987854436,0,0.129330888287584,0,5.09805602901991,7.63399877154082,9.96402998155933,2.00920957441585,2.78484472602956,2.88460138274762,24.2000953660034,17.1016880859736,15.1403236283471,13.2003897667149,10.8050395675561,8.26419378428732,5.84022725409889,4.37205501576727,19.9583576351266,12.2384910105652,9.16886756045998,6.84378837890667,4.97744421033933,3.04869699017565,1.89408164955886,1.25816079324135,1136,0.885714285714286,3710.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,0.384615384615385,NA,26.6009204470743,12.6975308641975,6.71604938271605,0,0,0,0,0,0,1,0,8,0,0,8,1,0,0,1,6,0,0,0,0,0,0,2,1,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,NA,NA,0,0,1.41984902504856,1.28945557107579,0,21.0036846439635,25.7371610099756,0,8.32755894181023,0,0,0.2,0,0,0,0,0,2.43568190630728,0.885793710680864,0.333333333333333,3.33,NA,NA,NA,NA,NA,NA,NA,0.473684210526316,0.9,NA,8,0,101.43,NA,6.28540221886225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473.25392348,72.298743047119,2.06567837277483,27.0977265174985,5.13808384612864,21.9596426713699,4346,53,1.113,186
"CC.C..C.C1.CC..C.S1.NC..O.NC2.C.C..CC.C2.Cl.Cl.C..O.N3CCC..O.N.CC3.CCN.C.C",2.5566,6.53620356,150.649,81.170169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0.771457915604814,-0.491018622729041,0.176131232721975,-0.0256008242926102,0.00938775336376389,61.6769614671528,48.3997527507256,74.829723418046,90.8480497407022,77.7551454649038,2932.30832624906,3422.01628428865,4787.04795661914,4956.49024795498,4546.2251951748,11.9932581322469,34.9698563242578,-0.344252147709126,0.281343492574153,5.12410491536869,12.7461642958034,49.329831,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,8,1,8,1,0,1,0,0,0.0962250448649376,0.239750841475979,0.556529312509969,0,0,0.0883883476483184,0.156638782688712,0.32535990357614,3.86634052654592,0.288675134594813,1.02600548718362,0.144337567297406,2.7306663355438,0.25,0.776501341618225,0.176776695296637,6.99291805425291,9.108118672011,12.3214103429192,4.61957960609749,4.8619509268422,5.61890829545117,26.6205913857006,16.862099666344,16.5447054166596,12.4994598399926,9.35562898375745,7.36568326364896,5.81058985162966,3.556330934425,23.6109591312162,13.3187109383383,11.8475790524356,8.11615081906266,5.11722311358944,3.52414806775514,2.43505325215013,1.28902267280964,971,0.611111111111111,3781.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,0.48,NA,30.5401662049861,13.3752066115702,8.49810648251281,0,0,0,0,0,0,5,0,6,0,0,4,0,0,0,3,6,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,NA,NA,3,1.62637987010858,6.58826735428174,6.18383113931266,1.85053586243577,8.60468922876055,17.6274282316788,1.45911540198998,9.13245064415355,2.00929305922208,0,0.421716332650875,0,0,0,0,0,0.5,0.797435827994326,0.7937005259841,3,NA,NA,NA,NA,NA,NA,NA,0.470588235294118,0.888888888888889,NA,10,0,110.29,NA,6.24792751344359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.16811654,71.744878369358,1.99291328803772,31.8516243298355,7.70983410266254,15.9821786418096,4292,59,1.791,186
"CC1CCC.CN1.N2CCC3.C2.CN.C4.CC.CC.C34.C..O.C5.CC6.C.N5.C.C.C.C6.F",-0.7029,0.49406841,129.2792,70.855997,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0.452613099335179,-0.233156579628623,-0.0493960207415303,0.105255819616365,0.0230740126171754,35.7164343796895,39.5756964204622,60.5418527949561,61.2612696190524,57.4410577158642,2577.14554114954,3187.04787502402,4871.06513323451,4746.20383045387,4401.25482863183,11.9973622963572,19.0001366334216,-0.312550164098365,0.249216261491108,4.20815991153362,12.4611550641276,39.144003,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,12,2,5,5,0,1,0,0,0.266328499224881,0.848100081096409,1.51227887617509,0,0,0.154669804080666,0.432851664592408,0.657352806536372,2.60293974661536,0.102062072615966,0.621903904948104,0.0416666666666667,1.56618370378981,0.0883883476483184,0.267628419694525,0.0255155181539914,6.34020619238707,10.684940434047,15.6277283247407,3.34403918742824,5.06029584134164,6.31616896002521,21.8716682412572,15.5216070518292,14.8369712575928,13.2390196436163,11.4744881846028,9.86904254053658,7.40157315000946,5.47176586190253,18.4038901146751,11.6949204126751,9.86430733830193,7.82161489487698,6.03204267660479,4.55057676295522,2.98436544070617,1.94588113211446,864,0.90625,3364.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,0.423076923076923,NA,22.4631117604091,8.89668367346939,4.078125,0,0,0,0,0,0,1,0,7,0,0,8,2,0,0,1,4,2,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,NA,NA,0,0,2.00707132148259,1.19106508605282,0.142857142857143,21.0557197114265,29.5306191655945,4.85114239223558,7.98068389740457,2.44424733332827,0,0,0,0,0,0,0,0.1,0.872871560943969,0.25,3.66,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,3,0,47.61,NA,6.20945336562895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.23254,67.1596713449693,2.09873972953029,18.4021543466155,2.61609151237608,13.244259443756,2905,56,1.851,186
"CN1CCN.C.C1.C..O.N.CC2.C.C.C3C..C2.C..NC.N3.NC4.C.C..CC.C4.Cl.F.OC",-0.471900000000001,0.222689610000001,126.7697,65.664032,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0.797608937820366,-0.436160034227488,-0.0755931159437821,0.056380739507324,0.266079818314576,44.9238139256322,40.6901968137067,59.4971747642895,69.6753466771177,61.2608108427703,2273.05632002543,2695.58633861569,3831.28715701221,4097.00492091886,3663.93136842004,11.9961414148855,34.9688540944586,-0.377140789804071,0.216095442320018,4.80431581521637,10.8247320596041,37.333968,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,10,2,4,1,0,0,0,0,0,0.259679700787487,0.633896612612932,0,0,0,0.100148180325695,0.205356261607013,2.32232634502945,0,0.655848050406111,0,1.14872032097475,0,0.170555809088627,0,5.63291512822006,8.45479117133,12.3630711022978,2.24763280103489,2.86080172685894,3.50602371746622,22.8276981668872,15.3674123983537,14.0996936265218,11.9853974059225,9.73687720530323,8.28623978143561,5.7513736043614,4.30859871001728,18.5644381332277,10.4942298757372,8.18794416286058,5.93026389867327,4.07931796551468,2.94818004358263,1.68708064728388,1.01656266489237,751,0.75,2489.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,0.318181818181818,NA,25.1036734693878,11.16,5.81421251949209,0,0,0,0,0,0,2,0,4,0,0,6,1,0,0,1,6,2,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,NA,NA,0,0.111111111111111,3.23230262708345,3.13839888053929,0,8.92193861810125,23.547511611352,0,11.7274240484308,0,0,0,0.142857142857143,0,0,0.333333333333333,0.577350269189626,1.19055078897615,0.816496580927726,0.333333333333333,2.78,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,6,0,95.55,NA,6.12928301694497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,458.1633301,65.393785491322,2.04355579660381,28.8901219859355,5.25571640968295,18.5769122800793,2930,55,-0.499,170
"COC1.C.C.C2C..C1.N.CN.C2NC3.C.C..CC.C3.Cl.F.CN4CCCCC4C..O.N",-1.4746,2.17444516,117.4854,63.897239,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.693851235084597,-0.375596538696754,-0.0186247748826199,0.02097479092112,0.184772080078071,43.5638336243557,39.1916510141654,57.1648108979286,67.3153663758412,58.5132789883793,2189.36017029389,2593.58933777969,3662.90342533898,3915.32424526321,3494.23039455207,11.9932769359792,34.9688540465834,-0.348376302514851,0.238578661834583,4.74666098904453,10.8175169094592,34.260761,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,10,2,2,4,0,0,0,0,0,0.274971652376843,0.585497085901915,0,0,0,0.123873073716099,0.193169912255111,2.03365121043463,0,0.655848050406111,0,0.925113523224769,0,0.170555809088627,0,5.27978194105456,8.08201193546166,11.2772478943828,1.9841443665433,2.66935960067918,3.12585260643688,21.9574546788841,14.9735655482363,13.4659264317903,11.6429786291882,9.54680255598112,7.83212811629645,5.58629883118325,4.15202644018726,17.8243313189143,10.4145607482036,7.92148276527326,5.84960787660728,4.16562421570811,2.92701883452214,1.67889546013075,1.02506640553458,690,0.774193548387097,2319.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0.318181818181818,NA,24.1349480968858,10.9505208333333,5.56686390532544,0,0,0,0,0,0,1,0,5,0,0,6,1,0,0,1,6,2,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,NA,NA,0,0,1.73375120564749,1.84590170806978,0,11.027017559105,24.9723695722928,0,11.7274240484308,0,0,0,0.142857142857143,0,0,0.333333333333333,0.333333333333333,1.19055078897615,0.5,0,2.89,NA,NA,NA,NA,NA,NA,NA,0.461538461538462,0.857142857142857,NA,6,0,92.31,NA,6.08746284125034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,443.15243106,63.5442005159197,2.04981291986838,25.6517888468488,5.25584735539613,15.3384498023029,2682,53,0.722,164
"COC1.C.C.C2C..C1.N.CN.C2NC3.CC..C.C.C3.F.Cl.CN4CCCC4C..O.N",-1.1866,1.40801956000001,114.5738,60.803653,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,51,0.689057519836628,-0.37645212707995,0.0148741228141092,-0.0227157140997676,0.189995364420188,42.5638336243557,38.1916510141654,56.1648108979286,62.3045352234263,54.9314938768542,2088.06311949395,2480.09790033945,3520.40167559658,3582.56915825807,3261.48356096334,11.9932841560187,34.9688540029309,-0.348373725771232,0.238567647085941,4.51572169789529,10.7991014754266,32.074347,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,10,2,2,3,0,0,0,0,0.117851130197758,0.34301303412082,0.710766806723459,0,0,0.0912870929175277,0.169516620174863,0.224787440661977,2.11436085966554,0,0.590206908719886,0,0.943586986342244,0,0.161701997956577,0,5.15119109568829,7.6836460359132,10.4215432114408,1.96758189126878,2.61318935536948,2.7665605150657,21.2503478976976,14.4567287958307,13.2186347871941,11.2548227704292,9.26347711040894,7.36349164446396,5.36685766352546,3.96019138392599,17.1172245377277,9.9085776840599,7.59543891307728,5.57502025067834,3.98947965183217,2.51458289255671,1.52352045179583,0.934802727250977,700,0.766666666666667,2046.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0.285714285714286,NA,23.168044077135,10.2924400181077,5.33333333333333,0,0,0,0,0,0,1,0,4,0,0,6,1,0,0,1,6,2,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,NA,NA,0,0,1.64580173679795,1.80922905706348,0,9.28135739932141,24.3345910415023,0,10.904642460717,0,0,0,0.142857142857143,0,0,0.333333333333333,0.333333333333333,1.19055078897615,0.5,0,2.78,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,6,0,92.31,NA,6.04439411935845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,429.13678098,61.4527985137779,2.04842661712593,25.5896979300701,5.24948200121967,15.3046261916534,2503,49,0.364,160
"COC1.C.C.C2C..C1.N.CN.C2NC3.C.C..CC.C3.Cl.F.CN4CC.C4.C..O.N",-0.586600000000001,0.344099560000001,113.7616,57.710067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.692387714837133,-0.357422008199436,0.0656627406661528,-0.223588386066034,0.348523332270307,41.5638336243557,37.1916510141654,52.8324470315678,60.9001983878111,50.9318991557834,1936.39971798728,2306.55109363951,3166.1497095499,3296.65213312422,2917.26051057767,11.9932919484056,34.9688539592822,-0.348373765115773,0.227413360186871,4.29535873763218,10.7188062451209,29.887933,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,10,2,3,0,1,0,0,0.166666666666667,0.214076175062696,0.520171172261339,0.837446749287766,0,0.129099444873581,0.155836815354318,0.214230557656569,0.247448094004942,2.10169259217861,0,0.618390571840846,0,1.00717843573949,0,0.137416379356255,0,5.21337791368057,7.14155620044635,10.201961206421,1.93952210333484,2.22580815043294,2.52278780908618,20.543241116511,13.9567287958307,12.8550446954687,11.064361104669,8.53681733916062,7.18445354739131,5.01730043178588,3.84826447979066,16.4101177565412,9.38083791493714,7.33043329635998,5.28757783037735,3.4350992503902,2.32910449503002,1.37485030121581,0.861756339524975,680,0.758620689655172,1789.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,0.25,NA,22.203125,9.64650283553875,4.92403746097815,0,0,0,0,0,0,1,0,3,0,0,6,1,0,0,1,6,2,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,NA,NA,0,0,1.49694492561263,1.7935549958812,0,7.46899892313129,22.1093443388438,0,11.1098855641995,0,0,0,0.125,0,0,0.3,0.25,1.19055078897615,0.5,0,2.67,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,6,0,92.31,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.1211309,59.2898414764703,2.04447729229208,25.5023835537524,5.23287731665932,15.2120698009961,2332,47,-0.427,156
"CN1CCC.CC1..C..O.N.N.C.CC2.C.C.C3C..C2.C..NC.N3.NC4.C.C..CC.C4.Cl.F.OC",-1.085,1.177225,132.5576,71.851204,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0.786529534302722,-0.433328326001631,0.0068598186231911,-0.00610627761545414,0.167033987032796,46.9238139256322,42.6901968137067,63.4971747642895,77.1460041525151,66.5377151331493,2512.32103502139,2991.07860812181,4323.30023895735,4718.15007253167,4120.21378843605,11.9961329358695,34.9688541817834,-0.377143501620358,0.218046780574422,5.08025078071428,11.9527734150663,41.706796,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,10,2,3,2,1,0,0,0,0,0.263807102692213,0.633961115352603,0,0,0,0.115225050716803,0.224104053734194,2.70342025635856,0.0833333333333333,1.10049247214973,0.142258898432212,1.47224913143037,0.0559016994374947,0.360986611037902,0.052704627669473,7.35394040130971,10.9181772705166,14.0339841315245,3.30444991652181,4.20119738172749,4.47196760156615,24.4574546788841,16.2460564703251,14.9849515206275,13.2060550835864,10.3788930675755,8.32445972299959,6.31182670601528,4.15029436280886,20.1941946452246,11.3508069693511,9.09223187697415,6.94516030818221,4.65590031161787,3.20735446498948,2.02909376128134,1.02243659752083,845,0.735294117647059,3103.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,0.375,NA,27.0460189919649,11.5884773662551,5.79693206720234,0,0,0,0,0,0,3,0,5,0,0,6,0,0,0,1,6,2,1,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,NA,NA,0,0.421716332650875,5.6404203253244,4.14653282993319,0.825481812223657,10.3835538134692,21.8263199737855,3.06611598501415,9.96057035014564,1.84614691844582,0,0,0.142857142857143,0,0,0.333333333333333,0.516397779494322,1.19055078897615,0.774596669241484,0.25,3,NA,NA,NA,NA,NA,NA,NA,0.466666666666667,0.875,NA,7,0,95.55,NA,6.20945336562895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486.19463026,69.1103941619085,2.03265865182084,28.6674116013368,5.24927102790644,18.3607479380719,3438,62,-0.0959999999999998,182
